presentationTopic,presentationTopicId,presentationCount,researchTopic,researchTopicId,mappingType,mappingReason,evidenceSource,safeForArchiveFilter,safeForResearchContext,humanReviewNeeded,notes
"ammattijärjestö","ammattijarjesto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=tjqmy-4Lc_5j41O"
"analytiikka","analytiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"Annie Advisor","annie advisor","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=y4oM9QaEQrxs2Lq"
"areena","areena","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=W2018dVgiTBgQxw"
"arkiset sovellukset","arkiset sovellukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"AVI","avi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=o2KsaiK39PKEN2g"
"Avoin oppiminen","avoin oppiminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/avoin-tiede-2021-avoimeen-oppimiseen-ja-opetukseen/"
"Avoin tiede","avoin tiede","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/avoin-tiede-2021-avoimeen-oppimiseen-ja-opetukseen/"
"Azure AI","azure ai","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"basics","basics","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Th9VKpjA84-sgKY"
"botit","botit","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=KStaqdjmBpQz_Yq"
"CAIO","caio","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=c8WhYSwnqMjsYUZ"
"case study","case study","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=UigBOzdI_YhoZZG"
"CEDE-malli","cede malli","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR"
"children","children","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=_Hb99jYnxlwV_7J"
"clinical laboratory","clinical laboratory","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"collaborative learning","collaborative learning","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=UigBOzdI_YhoZZG"
"Copilot","copilot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=i5qAHZkGYqjOGZV"
"CT 2.0","ct 2 0","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DUFz3anJzfZmV8G"
"DALL-E promptit","dall e promptit","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"data","data","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"dataslip","dataslip","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"datatoimijuus","datatoimijuus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"DBR","dbr","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"demokratia","demokratia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/lhidemokratiatoimikunta-oulun-kaupungissa/41789438|Lähidemokratiatoimikunnan toiminta Oulussa"
"Demokratia ja sivistys","demokratia ja sivistys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/lhidemokratiatoimikunta-oulun-kaupungissa/41789438|Lähidemokratiatoimikunnan toiminta Oulussa"
"demystifointi","demystifointi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=aTM5lGaNw5NYCtj"
"DIGIERKO","digierko","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=LxK-UqOjO0Ti57w"
"Digiopetus","digiopetus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/eduxr-2020-suunnanmuutos-digiopettajasta-etaopettajaksi/"
"digiosaaminen","digiosaaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=RIjexbw0vJhknqR"
"digipeda","digipeda","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=fMchhKOJuh9LPSe"
"Digipedagogiikka","digipedagogiikka","1","Opettajankoulutus ja pedagoginen muutos","teacher-education","NARROWER","Exact current research theme label under the teacher education preset.","src/_data/researchProgram.js: RESEARCH_THEME_LABELS; src/_data/seoTopics.js: opettajankoulutus researchThemes","true","true","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"digitarinankerronta","digitarinankerronta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/405514y-multimedia-as-a-learning-project-3-c/6958208|405514Y Multimedia as a Learning Project, 3 c"
"digiverkosto","digiverkosto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"Digivoo","digivoo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WrqBItfiBYxVHlM"
"DOK","dok","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=SiQ1lIJLHO9eT0t"
"doomscrolling","doomscrolling","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=sDBhfb4DZw_hcEG"
"DSR","dsr","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"dyslexia-tuki","dyslexia tuki","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"EARLI","earli","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=g5EqinrmAUi2FB8"
"early adoption","early adoption","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"Education HUB","education hub","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Un4WxPZdZD5qG6a"
"education policy","education policy","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=c8WhYSwnqMjsYUZ"
"EDUTEN","eduten","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WNfJmky8Se8aUa6"
"EKO","eko","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"ekologinen kestävyys","ekologinen kestavyys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=tjqmy-4Lc_5j41O"
"elokuu","elokuu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"esiopetus","esiopetus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=oE3MYYL33hpYgAf"
"etiikka","etiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"etäopetus","etaopetus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/teknologia-oppiminen-ja-osaaminen-yhteiskunnassa-uudet-teknologiat-isnnn-vai-rengin-roolissa/16672046|Teknologia, oppiminen ja osaaminen yhteiskunnassa - uudet teknologiat isännän vai rengin roolissa"
"EU-hanke","eu hanke","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=youtube | samples=/presentations/lea-hanke-visioita-sahkoisista-oppimisymparistoista/"
"Fab Lab","fab lab","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"FCLAB","fclab","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"Finland model","finland model","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Hlih1iAZAFJZTxM"
"Finnoschool","finnoschool","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=Qj3UMnjU3RwRv7P"
"friend or foe","friend or foe","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Cms-4m8mJZ9yK4e"
"hajautettu kognitio","hajautettu kognitio","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=d6ho42WobmfnVvc"
"hallinto","hallinto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=gkvZ4JJwmVa0Knk"
"hallucination","hallucination","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=p4rQp2s1Ex3o48Z"
"hanke-esittely","hanke esittely","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qx9PoFlOBrBceoH"
"harjoittelukoulut","harjoittelukoulut","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"HeyGen","heygen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I-r13uz6Wiip2cC"
"higher education","higher education","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"hybridi-intelligenssi","hybridi intelligenssi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"hybridioppiminen","hybridioppiminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=d6ho42WobmfnVvc"
"ILO-ydintaidot","ilo ydintaidot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=nJE4skdc9hohwL0"
"iltapäivä","iltapaiva","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=fMchhKOJuh9LPSe"
"infrastruktuuri","infrastruktuuri","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=tjqmy-4Lc_5j41O"
"Innokas","innokas","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ThD48aX9TlBUu2f"
"inspiraatio","inspiraatio","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"Intelligent TPACK","intelligent tpack","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=F5-Wd95VzJy0JoP"
"interdisciplinary","interdisciplinary","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=CYteD0Z-U5Z6TzJ"
"international","international","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Cms-4m8mJZ9yK4e"
"international conference","international conference","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=CYteD0Z-U5Z6TzJ"
"IT-kouluttajat","it kouluttajat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qjolBc10LSzMSAR"
"Iwata","iwata","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=BHFIfQOhEw4ABCA"
"jalkauttaminen","jalkauttaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=BwG8adUhENZ7jrX"
"Johdanto","johdanto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/luento-1-johdanto/"
"järjestöt","jarjestot","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=IMm6-JD8PRTBK2F"
"K-12 education","k 12 education","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=c8WhYSwnqMjsYUZ"
"K-9","k 9","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=g5EqinrmAUi2FB8"
"Kainuu","kainuu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=SiQ1lIJLHO9eT0t"
"kalamalja","kalamalja","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=W2018dVgiTBgQxw"
"kansainvälinen konferenssi","kansainvalinen konferenssi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=CYteD0Z-U5Z6TzJ"
"kansainvälinen yhteistyö","kansainvalinen yhteistyo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qx9PoFlOBrBceoH"
"kansalliset linjaukset","kansalliset linjaukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=c8WhYSwnqMjsYUZ"
"kehittäminen","kehittaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ULcBKqsIIMap4cc"
"kehotteet","kehotteet","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=hmeIKU2KmombmX2"
"Kempele","kempele","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DCBR_muSwblqYUG"
"Kerava","kerava","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=BwG8adUhENZ7jrX"
"kieltäminen","kieltaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=OhD7wKtj_XV-VGg"
"kognitiivinen työkalu","kognitiivinen tyokalu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=d6ho42WobmfnVvc"
"kohdennettu mainonta","kohdennettu mainonta","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=KStaqdjmBpQz_Yq"
"kommenttipuheenvuoro","kommenttipuheenvuoro","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=WrqBItfiBYxVHlM"
"konekääntäminen","konekaantaminen","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"konenäkö","konenako","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=9vbIlfCJtVMnz0L"
"konferenssi","konferenssi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=1U8nu6YXdIOguXc"
"korkeakoulupedagogiikka","korkeakoulupedagogiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=qxV96znMIpZ5Q2a"
"korkeakoulut","korkeakoulut","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=gkvZ4JJwmVa0Knk"
"korkeakoulutus","korkeakoulutus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"Koulutuspolitiikka","koulutuspolitiikka","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=/presentations/syntyvyys-ja-kouluik-luokat-oulussa-2026/"
"koulutuspäivä","koulutuspaiva","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=HkRvziyrg2IqL5S"
"koulutussarja","koulutussarja","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I-r13uz6Wiip2cC"
"kriittinen medialukutaito","kriittinen medialukutaito","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DUFz3anJzfZmV8G"
"Kulosaaren yhteiskoulu","kulosaaren yhteiskoulu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=jT1t-KBLsuVoxiG"
"Kulosaari secondary school","kulosaari secondary school","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=Th9VKpjA84-sgKY"
"kunnat","kunnat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"Kuntaliitto","kuntaliitto","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=rcjGtO0E3RNGeXW"
"kuntatalous","kuntatalous","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=kJtKo_ZUxCFEOTn"
"käytännön esittely","kaytannon esittely","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=m5VefIslzj_iYuG"
"käytännön harjoitukset","kaytannon harjoitukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=-eSwZknSARYMaO9"
"käytännön koulutus","kaytannon koulutus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"käytännön vinkit","kaytannon vinkit","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=NwJZ8FVrbTIF80L"
"Labquality Days","labquality days","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"learning analytics","learning analytics","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ"
"learning support","learning support","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=y4oM9QaEQrxs2Lq"
"linjaukset","linjaukset","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DCBR_muSwblqYUG"
"Lithuania","lithuania","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=qX_3Ld__WgjScWJ"
"LLM-HA","llm ha","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=z50JNAQrXmpHanN"
"lukituki","lukituki","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"lukuvuoden alku","lukuvuoden alku","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=H8tSyhG_9jcwRpr"
"LUTK","lutk","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"lähestymistapa","lahestymistapa","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=F5-Wd95VzJy0JoP"
"lähidemokratia","lahidemokratia","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/lhidemokratiatoimikunta-oulun-kaupungissa/41789438|Lähidemokratiatoimikunnan toiminta Oulussa"
"läpinäkyvyys","lapinakyvyys","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=jkh6GGDWw4nOc3_"
"MagicSchool","magicschool","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=y4oM9QaEQrxs2Lq"
"maker-kasvatus","maker kasvatus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/supporting-fab-lab-facilitators-to-develop-pedagogical-practices-to-improve-learning-in-digital-fabrication-activities/148128991|Supporting Fab Lab facilitators to develop pedagogical practices to improve learning in digital fabrication activities"
"menetelmät","menetelmat","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=ufZPce1w_asMPp_"
"Microsoft Translator","microsoft translator","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=4zq6qy9B3GX9FQK"
"mixed methods","mixed methods","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=slideshare | samples=slideshare|https://www.slideshare.net/slideshow/quali-lecture-1-17116725/17116725|Quali lecture 1: Understanding the research process"
"motivointi","motivointi","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=S9UhE1RwcwtuNMz"
"national guidelines","national guidelines","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=c8WhYSwnqMjsYUZ"
"normaalikoulu","normaalikoulu","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=yBTK1xtETo0tuLp"
"NotebookLM","notebooklm","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=I-r13uz6Wiip2cC"
"OAJ","oaj","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=tjqmy-4Lc_5j41O"
"ohjaus","ohjaus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=en | sources=canva | samples=y4oM9QaEQrxs2Lq"
"ohjaustyö","ohjaustyo","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=hmeIKU2KmombmX2"
"ohjelmointi","ohjelmointi","1","Opettajankoulutus ja pedagoginen muutos","teacher-education","NARROWER","Current curated research program already places programming-oriented teacher education work under this preset.","src/curated/research-program.json: teacher-education publicationMeta themes include ohjelmointi; src/_data/seoTopics.js: opettajankoulutus context","true","true","false","langs=fi | sources=canva | samples=/presentations/luento-4-ohjelmointiosaaminen/"
"Ohjelmointi","ohjelmointi","1","Opettajankoulutus ja pedagoginen muutos","teacher-education","NARROWER","Current curated research program already places programming-oriented teacher education work under this preset.","src/curated/research-program.json: teacher-education publicationMeta themes include ohjelmointi; src/_data/seoTopics.js: opettajankoulutus context","true","true","false","langs=fi | sources=canva | samples=/presentations/luento-4-ohjelmointiosaaminen/"
"OK Opintokeskus","ok opintokeskus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=IMm6-JD8PRTBK2F"
"OKF","okf","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=EAMOOLnvrmnE_0g"
"OKM","okm","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=RIjexbw0vJhknqR"
"OPE-keskus","ope keskus","1","","","UNMAPPED","No explicit deterministic mapping evidence was found in the current repository.","","true","false","false","langs=fi | sources=canva | samples=DAHI6X6dR_g"
"Opetettava kone","opetettava kone","1","Tekoälylukutaito ja tekoälykasvatus","ai-literacy","NARROWER","Curated research program already treats Opetettava kone as a machine-learning teaching tool under the current AI literacy work.","src/curated/research-program.json: no-code tool summary under tekoalylukutaito + koneoppiminen; src/curated/canva/CRypZKJybJhhwBd.md","true","true","false","langs=fi | sources=canva | samples=ThD48aX9TlBUu2f"
